elapsed,label,threadName,bytes,sentBytes,grpThreads
76,HTTP Request Little 2KB,Thread Group 1 1-1,2309,122,2
7,HTTP Request Little 1KB,Thread Group 1 1-1,1284,111,2
11,HTTP Request Little 1KB,Thread Group 1 1-4,1285,111,4
4,HTTP Request Little 3KB,Thread Group 1 1-1,2308,122,4
117,HTTP Request Medium 3MB,Thread Group 1 1-3,3145995,122,5
20,HTTP Request Little 3KB,Thread Group 1 1-3,2308,122,7
63,HTTP Request Medium 1MB,Thread Group 1 1-4,1048842,122,8
35,HTTP Request Medium 1MB,Thread Group 1 1-10,1048843,122,10
345,HTTP Request Large 10MB,Thread Group 1 1-5,10486028,122,11
9,HTTP Request Little 3KB,Thread Group 1 1-14,2309,122,14
619,HTTP Request Large 10MB,Thread Group 1 1-2,10486028,122,14
139,HTTP Request Medium 1MB,Thread Group 1 1-2,1048842,122,17
50,HTTP Request Little 1KB,Thread Group 1 1-17,1285,111,17
56,HTTP Request Little 1KB,Thread Group 1 1-10,1284,111,19
404,HTTP Request Medium 2MB,Thread Group 1 1-18,2097419,122,20
706,HTTP Request Large 10MB,Thread Group 1 1-4,10486027,122,20
11,HTTP Request Little 2KB,Thread Group 1 1-2,2308,122,20
933,HTTP Request Medium 3MB,Thread Group 1 1-12,3145995,122,20
658,HTTP Request Medium 3MB,Thread Group 1 1-19,3145995,122,20
81,HTTP Request Little 2KB,Thread Group 1 1-17,2308,122,20
91,HTTP Request Little 3KB,Thread Group 1 1-12,2308,122,20
1022,HTTP Request Large 10MB,Thread Group 1 1-3,10486027,122,20
1330,HTTP Request Large 10MB,Thread Group 1 1-11,10486028,122,20
18,HTTP Request Little 1KB,Thread Group 1 1-11,1284,111,20
1533,HTTP Request Large 13MB,Thread Group 1 1-1,13631755,122,20
1652,HTTP Request Large 13MB,Thread Group 1 1-7,13631756,122,20
1895,HTTP Request Large 13MB,Thread Group 1 1-6,13631756,122,20
527,HTTP Request Medium 3MB,Thread Group 1 1-18,3145994,122,20
1511,HTTP Request Large 13MB,Thread Group 1 1-15,13631756,122,20
11,HTTP Request Little 3KB,Thread Group 1 1-15,2308,122,20
2421,HTTP Request Large 16MB,Thread Group 1 1-8,16777485,122,20
395,HTTP Request Little 2KB,Thread Group 1 1-18,2308,122,20
2223,HTTP Request Large 16MB,Thread Group 1 1-5,16777484,122,20
105,HTTP Request Medium 1MB,Thread Group 1 1-8,1048842,122,20
1196,HTTP Request Medium 2MB,Thread Group 1 1-19,2097418,122,20
19,HTTP Request Little 3KB,Thread Group 1 1-19,2308,122,20
1081,HTTP Request Large 10MB,Thread Group 1 1-1,10486027,122,20
804,HTTP Request Medium 2MB,Thread Group 1 1-6,2097418,122,20
1,HTTP Request Little 2KB,Thread Group 1 1-6,2308,122,20
372,HTTP Request Medium 2MB,Thread Group 1 1-11,2097418,122,20
2154,HTTP Request Large 16MB,Thread Group 1 1-20,16777485,122,20
2476,HTTP Request Large 16MB,Thread Group 1 1-16,16777485,122,20
147,HTTP Request Medium 1MB,Thread Group 1 1-20,1048842,122,20
2082,HTTP Request Large 10MB,Thread Group 1 1-14,10486027,122,20
23,HTTP Request Little 2KB,Thread Group 1 1-14,2308,122,20
383,HTTP Request Medium 2MB,Thread Group 1 1-1,2097418,122,20
156,HTTP Request Medium 1MB,Thread Group 1 1-18,1048842,122,20
22,HTTP Request Little 2KB,Thread Group 1 1-11,2308,122,20
2029,HTTP Request Large 16MB,Thread Group 1 1-4,16777484,122,20
1308,HTTP Request Large 10MB,Thread Group 1 1-17,10486027,122,20
166,HTTP Request Medium 2MB,Thread Group 1 1-4,2097418,122,20
74,HTTP Request Medium 2MB,Thread Group 1 1-8,2097418,122,20
3343,HTTP Request Large 16MB,Thread Group 1 1-9,16777485,122,20
9,HTTP Request Little 1KB,Thread Group 1 1-6,1284,111,20
77,HTTP Request Medium 1MB,Thread Group 1 1-19,1048842,122,20
262,HTTP Request Medium 3MB,Thread Group 1 1-17,3145994,122,20
1966,HTTP Request Large 16MB,Thread Group 1 1-7,16777484,122,20
37,HTTP Request Little 2KB,Thread Group 1 1-20,2308,122,20
2407,HTTP Request Large 16MB,Thread Group 1 1-10,16777484,122,20
1,HTTP Request Little 1KB,Thread Group 1 1-14,1284,111,20
2058,HTTP Request Large 16MB,Thread Group 1 1-12,16777484,122,20
154,HTTP Request Medium 3MB,Thread Group 1 1-4,3145994,122,20
36,HTTP Request Medium 1MB,Thread Group 1 1-17,1048842,122,20
2,HTTP Request Little 1KB,Thread Group 1 1-19,1284,111,20
11,HTTP Request Little 1KB,Thread Group 1 1-20,1284,111,20
2159,HTTP Request Large 20MB,Thread Group 1 1-5,20971788,122,20
2022,HTTP Request Large 20MB,Thread Group 1 1-15,20971788,122,20
4438,HTTP Request Large 20MB,Thread Group 1 1-13,20971789,122,20
11,HTTP Request Little 2KB,Thread Group 1 1-4,2308,122,20
2943,HTTP Request Large 13MB,Thread Group 1 1-2,13631755,122,20
3510,HTTP Request Large 20MB,Thread Group 1 1-3,20971788,122,20
99,HTTP Request Little 3KB,Thread Group 1 1-5,2308,122,20
1977,HTTP Request Large 20MB,Thread Group 1 1-16,20971788,122,20
117,HTTP Request Medium 1MB,Thread Group 1 1-3,1048842,122,20
60,HTTP Request Little 1KB,Thread Group 1 1-16,1284,111,20
341,HTTP Request Medium 2MB,Thread Group 1 1-15,2097418,122,20
1507,HTTP Request Large 10MB,Thread Group 1 1-7,10486027,122,20
247,HTTP Request Medium 2MB,Thread Group 1 1-17,2097418,122,20
1725,HTTP Request Large 16MB,Thread Group 1 1-1,16777484,122,20
603,HTTP Request Medium 2MB,Thread Group 1 1-14,2097418,122,20
1500,HTTP Request Large 10MB,Thread Group 1 1-18,10486027,122,20
95,HTTP Request Medium 3MB,Thread Group 1 1-1,3145994,122,20
59,HTTP Request Little 1KB,Thread Group 1 1-18,1284,111,20
4,HTTP Request Little 2KB,Thread Group 1 1-15,2308,122,20
346,HTTP Request Medium 2MB,Thread Group 1 1-20,2097418,122,20
2118,HTTP Request Large 20MB,Thread Group 1 1-9,20971788,122,20
1,HTTP Request Little 3KB,Thread Group 1 1-4,2308,122,20
8,HTTP Request Little 2KB,Thread Group 1 1-9,2308,122,20
4,HTTP Request Little 1KB,Thread Group 1 1-3,1284,111,20
131,HTTP Request Medium 2MB,Thread Group 1 1-5,2097418,122,20
1772,HTTP Request Large 16MB,Thread Group 1 1-11,16777484,122,20
14,HTTP Request Little 3KB,Thread Group 1 1-16,2308,122,20
5,HTTP Request Little 3KB,Thread Group 1 1-18,2308,122,20
