r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id
0,1,384520,11684,3068,135520,4,10692,19952,11012,841,921,76,16,0
2,0,386312,7068,3176,134380,20,1792,11044,1792,718,1444,68,20,1
1,0,386832,15152,3380,128068,832,1072,4060,1072,732,1822,69,30,0
0,1,386576,7380,5748,171560,1144,120,50648,120,1923,4170,35,31,0
3,0,389656,7744,7780,158488,64,2900,10308,2944,959,1525,26,18,39
0,0,389656,19640,7796,158676,0,0,204,0,466,490,15,6,76
0,0,389400,19516,7796,158828,92,0,252,0,473,425,3,2,95
0,0,389400,19516,7796,158856,0,0,0,0,475,278,0,1,99
0,0,389144,11332,7952,168000,920,0,10232,0,780,964,5,5,87
0,0,389144,11332,7960,168060,0,0,44,16,562,713,4,4,92
0,0,388888,10340,7960,168852,268,0,1068,0,581,734,6,4,87
0,0,388888,10340,7960,168872,0,0,0,0,456,266,0,2,98
0,0,388888,10340,7960,168876,0,0,0,0,442,236,0,2,98
0,0,388888,7860,8060,171212,44,0,2460,0,517,407,1,2,95
0,0,388896,13768,7988,165388,520,508,1064,600,606,712,0,4,94
0,0,388640,12788,7988,165444,160,0,168,0,639,1216,15,10,73
0,0,388640,12664,7988,165424,24,0,24,0,433,298,2,1,97
0,0,388640,12664,7988,165428,0,0,0,0,479,253,1,0,99
0,0,388640,12664,7988,165432,0,0,0,0,433,250,1,2,97
0,0,388640,12664,7996,165424,0,0,0,32,475,254,0,2,98
0,0,388640,12664,7996,165436,0,0,0,0,427,235,0,1,99
0,0,388640,12664,7996,165440,0,0,0,0,469,240,1,0,99
0,0,388640,12664,7996,165444,0,0,0,0,436,266,1,3,96
0,0,388640,12664,7996,165444,0,0,0,0,458,236,0,2,98
1,0,390440,18748,7988,168508,4416,1964,11825,2004,1531,3240,2,16,57
0,0,388904,17772,7988,168520,0,0,0,0,796,2315,1,1,98
0,0,388904,17648,7992,168516,0,0,4,536,486,327,0,3,97
0,0,388904,17648,7992,168532,0,0,0,0,455,232,1,1,98
0,0,388904,17648,7992,168536,0,0,0,0,480,248,0,1,99
0,0,388904,17648,8000,168528,0,0,0,44,451,301,0,1,98
0,0,388904,17648,8000,168836,4,0,300,0,552,285,0,1,99
0,0,388904,17648,8000,168840,0,0,0,0,442,234,0,1,99
0,0,388904,17648,8000,168844,0,0,0,0,433,250,0,2,98
1,0,388904,17648,8000,168844,0,0,0,0,428,283,0,2,98
0,0,388904,17648,8008,168840,4,0,4,12,459,299,2,0,98
0,0,388904,17648,8008,168852,0,0,0,0,409,230,0,2,98
0,0,388904,17648,8008,168852,0,0,0,0,472,245,0,1,99
0,0,388904,17648,8008,168856,0,0,0,0,468,280,1,2,97
0,0,388904,17648,8008,168860,0,0,0,0,446,243,0,2,98
0,0,388904,15292,8016,171932,76,0,1850,12,547,545,2,7,90
0,0,388904,15292,8016,171944,0,0,0,0,442,266,0,2,98
0,0,388904,15292,8016,171948,0,0,0,0,465,299,1,2,97
0,0,388904,15292,8016,171952,0,0,0,0,430,292,2,2,96
0,0,388904,15292,8016,171952,0,0,0,0,451,277,0,1,99
0,0,388904,15044,8024,172172,24,0,191,12,502,374,1,2,96
0,0,388904,15044,8024,172216,0,0,0,0,466,296,1,1,98
0,0,388904,14796,8024,172356,4,0,156,0,431,309,1,2,97
0,0,388904,14796,8024,172372,0,0,0,0,462,276,0,1,99
2,0,388904,14796,8024,172376,0,0,0,0,401,285,1,3,96
0,0,388904,14796,8032,172368,0,0,0,12,460,298,0,2,98
0,0,388904,14796,8032,172380,0,0,0,0,416,290,2,3,95
0,0,388904,14796,8032,172384,0,0,0,0,463,257,0,0,100
0,0,388904,14796,8032,172384,0,0,0,0,434,292,0,3,97
0,0,388904,14796,8032,172388,0,0,0,0,471,279,1,1,98
0,0,388904,14796,8040,172384,0,0,0,12,465,290,0,2,98
0,0,388904,14796,8040,172396,0,0,0,0,502,228,0,1,99
1,0,388904,14672,8040,172536,20,0,148,0,486,276,1,0,99
0,0,388904,12876,8168,172628,176,0,396,88,498,419,3,2,93
0,0,388392,11988,8304,172272,644,4,6824,4,708,1643,3,7,84
0,0,391984,6660,7632,158940,412,3724,23168,3792,1345,2935,27,24,29
0,0,391984,6984,7632,158472,0,72,0,72,463,273,1,1,98
1,0,391984,6984,7632,158532,0,0,80,0,419,270,0,2,98
0,0,391984,7236,7632,158052,8,124,8,164,496,363,1,3,96
0,0,391984,6988,7632,158024,0,0,0,0,458,324,0,3,97
0,0,392248,6960,7640,157888,0,132,400,192,491,302,2,2,95
0,0,392248,6960,7640,157900,0,0,0,0,442,270,1,2,97
0,0,392248,6960,7640,157900,0,0,0,0,465,257,0,0,100
0,0,392248,6960,7640,157904,0,0,0,0,397,248,0,1,99
0,0,392248,6960,7640,157908,0,0,0,0,423,291,3,3,94
0,0,392248,6960,7648,157908,0,0,0,12,415,271,1,1,98
0,0,393784,22964,7648,152872,28,1448,2680,1448,505,550,2,5,92
0,0,393784,22496,7648,152884,0,0,0,0,464,244,0,1,99
0,0,393784,22372,7648,152884,0,0,0,0,438,233,0,1,99
0,0,393784,22372,7648,152888,0,0,0,0,447,276,1,1,98
0,0,393784,22372,7656,152892,0,0,4,24,416,289,1,2,97
0,0,393784,22372,7656,152896,0,0,0,0,475,261,1,1,98
2,0,393784,20336,7656,153684,8,0,2056,0,2101,539,0,14,85
3,0,393784,20416,7656,153680,0,0,0,0,9688,905,1,53,46
0,0,393784,20276,7656,153684,0,0,0,0,6023,528,1,39,60
3,0,393784,19752,7664,153688,0,0,0,12,5619,483,1,35,64
0,0,393784,19076,7664,153692,0,0,0,0,5681,517,4,44,52
2,0,393784,19736,7664,153696,0,0,0,0,5698,485,2,44,53
1,0,393784,20148,7664,153696,0,0,0,0,5594,487,0,48,52
0,0,393784,20192,7664,153700,0,0,0,0,5501,444,1,42,57
0,0,393784,21000,7672,153696,0,0,0,12,5523,499,1,43,56
1,0,393784,19024,7672,153708,0,0,0,0,5474,503,0,46,54
1,0,393784,20152,7672,153708,0,0,0,0,5386,488,1,41,57
0,0,393784,20148,7672,153712,0,0,0,96,5698,474,1,46,53
0,0,393784,20904,7672,153716,0,0,0,0,5554,461,0,43,57
0,0,393784,20352,7680,153720,0,0,0,24,6052,510,0,47,53
1,0,393784,31744,7680,153780,0,0,68,0,5335,583,2,40,57
0,0,393784,32368,7680,153788,0,0,0,0,5502,476,0,45,55
0,0,393784,33176,7680,153792,0,0,0,0,5602,470,0,42,58
0,0,393784,32388,7680,153796,0,0,0,644,6248,531,1,47,52
1,0,393784,32440,7688,153792,0,0,0,48,5123,468,1,44,55
0,0,393784,32400,7688,153800,0,0,0,0,5591,464,0,42,58
2,0,393784,32856,7688,153804,0,0,0,0,5360,478,1,45,54
2,0,393784,32604,7688,153808,0,0,0,0,6143,481,1,47,52
0,0,393784,32556,7688,153812,0,0,0,76,5493,457,1,40,59
0,0,393784,32376,7696,153808,0,0,0,12,5514,452,0,41,59
1,0,393784,33124,7696,153816,0,0,0,0,5586,520,4,44,52
0,0,393784,31728,7696,153820,0,0,0,0,5838,475,1,44,55
1,0,393784,32296,7696,153824,0,0,0,0,5502,446,1,42,57
0,0,393784,32552,7696,153828,0,0,0,0,5681,440,1,38,60
2,0,393784,32392,7704,153820,0,0,0,12,5847,476,0,47,53
0,0,393784,31968,7704,153832,0,0,0,0,5531,507,1,47,52
0,0,393784,32416,7704,153836,4,0,4,0,5681,490,1,41,58
0,0,393784,32308,7704,153840,0,0,0,0,5211,448,1,41,57
2,0,393784,32768,7704,153844,0,0,0,0,5676,484,2,45,53
0,0,393784,32028,7712,153836,0,0,0,12,5824,496,0,45,55
0,0,393784,32448,7712,153848,0,0,0,0,5300,470,1,46,53
0,0,393784,32812,7712,153852,0,0,0,0,5487,443,0,42,58
1,0,393784,32580,7712,153856,0,0,0,0,5748,487,0,46,54
0,0,393784,32520,7712,153860,0,0,0,0,5977,486,0,45,55
0,0,393784,32396,7720,153852,0,0,0,12,4968,487,1,47,52
0,0,393784,32392,7720,153864,0,0,0,0,5627,415,0,36,64
1,0,393784,32716,7720,153868,4,0,4,0,5787,490,2,44,53
0,0,393784,32504,7720,153872,0,0,0,0,6100,523,5,44,51
0,0,393784,32452,7720,153872,0,0,0,100,5399,475,1,41,58
0,0,393784,32760,7728,153868,0,0,0,24,5250,486,0,45,55
0,0,393784,32476,7728,153880,0,0,0,0,5784,482,1,47,52
0,0,393784,32644,7728,153884,0,0,0,0,5809,509,2,47,51
0,0,393784,32324,7728,153888,0,0,0,0,5352,461,1,42,57
0,0,393784,32504,7728,153888,0,0,0,0,5484,467,0,45,55
1,0,393784,33132,7736,153884,0,0,0,12,5710,474,1,49,50
0,0,393784,32384,7736,153896,0,0,0,0,5727,469,1,45,54
0,0,393784,32296,7736,153900,0,0,0,0,5498,455,1,42,57
1,0,393784,32144,7736,153900,0,0,0,0,5508,450,3,41,55
0,0,393784,32736,7736,153904,0,0,0,0,5715,477,0,43,57
0,0,393784,32144,7744,153900,0,0,0,12,6001,432,1,39,60
0,0,393784,32220,7744,153912,0,0,0,0,5432,470,0,43,57
1,0,393784,32176,7744,153916,0,0,0,0,5514,414,0,40,60
0,0,393784,32132,7744,153916,0,0,0,0,5967,441,2,42,56
1,0,393784,32272,7744,153920,0,0,0,0,5745,456,1,46,53
0,0,393784,32116,7752,153916,0,0,0,12,5430,467,2,43,55
1,0,393784,32092,7752,153928,0,0,0,0,5291,443,2,46,52
0,0,393784,32384,7752,153928,0,0,0,0,5968,448,1,45,54
0,0,393784,32136,7752,153932,0,0,0,0,6009,681,2,42,56
2,0,393784,31972,7752,153936,0,0,0,0,5533,635,3,44,53
1,0,393784,31876,7760,153932,0,0,0,24,5548,528,1,45,54
0,0,393784,31896,7760,153944,0,0,0,0,5698,539,1,46,53
0,0,393784,31656,7760,154224,0,0,276,0,5714,591,1,45,54
2,0,393784,31488,7760,154224,0,0,0,0,5669,525,2,44,54
0,0,393784,31752,7760,154228,0,0,0,0,5370,480,0,44,56
1,0,393784,32252,7768,154224,0,0,0,16,5593,520,4,43,53
0,0,393784,31860,7768,154236,0,0,0,0,6021,500,0,47,53
2,0,393784,31612,7768,154236,0,0,0,0,5658,474,2,41,57
1,0,393784,31616,7768,154240,0,0,0,0,5440,481,2,45,53
2,0,393784,31940,7768,154244,0,0,0,0,5301,483,1,44,54
0,0,393784,31556,7776,154240,0,0,0,124,5820,502,2,47,51
1,0,393784,31572,7776,154248,0,0,0,0,5538,476,1,41,58
1,0,393784,12864,7776,170020,0,0,15744,0,7701,739,2,53,44
0,394040,33232,5712,144608,0,340,5764,372,15524,1205,0,100,0,0
0,394304,62376,2664,111652,0,200,168,204,13294,989,0,100,0,0
2,0,394816,82592,1952,97484,0,664,708,700,15478,1137,1,98,1
0,397384,88888,1632,93980,0,2444,132,2460,15196,1503,1,99,0,0
8,0,402264,95356,1480,91440,0,4992,0,4992,13717,1682,0,98,2
0,406120,102500,1476,89136,0,3876,0,3876,16312,1865,0,100,0,0
0,409464,108052,1440,87396,0,3256,0,3256,15919,1664,1,99,0,0
6,0,411776,112728,1444,85036,0,2280,100,2292,15417,1671,1,99,0
0,415120,116020,1444,83580,0,3424,4,3436,14991,1735,0,98,2,0
0,420000,126304,1444,81476,0,4924,324,4924,16603,2055,1,99,0,0
9,0,424112,129704,1444,79892,0,3980,4,3980,14893,1782,1,99,0
3,0,426168,135496,1444,79132,0,2152,0,2156,14552,1684,1,96,3
1,0,429768,137576,1444,77612,88,3996,164,4004,13818,2423,6,88,6
0,431824,141208,1452,76952,0,2108,4,2132,14669,1740,1,97,2,0
0,434136,138108,1452,83240,12,2372,8764,2372,15341,1785,3,93,3,0
0,434912,136148,1452,84636,12,808,2224,808,14858,7729,1,94,4,0
0,434912,135152,1452,84612,0,0,0,0,15795,18217,1,97,2,0
5,0,434912,138020,1452,84644,0,0,56,0,15135,17154,2,94,3
7,0,434912,134832,1460,84672,0,0,0,12,16027,18685,3,93,3
9,0,434912,132360,1460,84672,0,0,0,0,15888,26081,3,93,4
1,0,434912,131416,1460,84672,0,0,0,0,15856,18931,1,97,2
1,0,434912,140720,1460,84676,0,0,0,0,16519,17109,0,94,6
3,0,434912,131816,1460,84680,0,0,0,0,13981,19111,1,88,10
5,0,434912,136132,1468,84676,0,0,0,12,12783,18042,1,95,4
0,434912,132728,1468,84792,4,0,112,0,15050,24459,2,98,0,0
0,0,434912,130540,1468,88292,0,0,3504,0,14653,16465,4,93,2
0,434144,118236,1468,100112,448,0,12272,0,12366,15909,2,96,1,0
0,434144,121064,1468,100392,0,0,296,0,14621,16005,1,98,1,0
1,0,434144,122404,1476,100404,0,0,0,12,16656,20390,1,96,3
6,0,434144,119444,1476,100524,0,0,124,0,15777,17056,1,97,2
0,434144,117792,1476,100540,0,0,0,0,14761,22137,2,92,6,0
1,0,434144,121432,1476,100540,0,0,0,0,15687,13213,0,97,3
1,0,434144,116540,1492,101284,100,0,860,36,15414,16471,2,94,4
0,434144,120352,1492,101304,0,0,0,0,15327,18056,1,97,2,0
0,434144,117364,1492,101308,0,0,0,0,15940,23550,1,95,4,0
8,0,434144,103012,2192,114216,524,0,13780,136,13111,16279,5,94,1
4,0,434144,103360,2192,114216,0,0,0,0,14422,19503,2,94,3
0,434144,103936,2192,115676,0,0,897,0,16597,11528,9,90,1,0
5,0,434144,98556,2192,118608,52,0,1810,0,13722,16374,1,94,4
0,433888,92056,2896,123864,596,0,4634,0,13169,16063,13,87,0,0
0,432864,79252,3616,134020,1288,0,8491,92,13405,12808,5,95,0,0
2,0,432096,75444,3644,137208,1364,0,2853,0,12990,17098,1,96,2
0,431328,56892,3944,151736,548,0,14807,196,13247,14171,16,84,0,0
0,431328,48676,3948,154356,0,0,2616,188,13012,12375,18,82,0,0
0,431328,21064,3960,169064,12,0,14692,0,13663,27403,12,88,0,0
0,431328,27068,3560,159800,28,60,204,1312,14921,23766,9,91,0,0
0,432096,41468,3176,151088,0,640,536,788,16066,1516,3,97,0,0
0,432864,49424,3184,145284,0,644,0,736,16482,1701,0,99,1,0
0,433120,63136,3184,130840,0,320,4,404,15132,1011,1,99,0,0
8,0,433120,83284,2436,111052,0,116,800,128,15969,959,0,99,1
0,434144,83352,2212,108016,0,928,60,932,17733,19299,1,99,0,0
0,434144,85124,2212,108028,0,0,0,0,16096,32227,0,99,1,0
5,0,434144,82936,2220,108944,0,0,574,24,14838,27641,2,97,1
1,0,434144,76892,2220,112752,4,0,3824,0,15086,32651,6,91,2
0,434144,82684,2220,112764,0,0,0,0,16908,25488,1,93,5,0
0,0,434144,77572,2220,125284,4,0,12464,0,14320,28681,3,95,2
0,434144,76396,2220,125900,0,0,632,0,16020,28468,1,97,2,0
7,0,434144,74124,2228,125912,0,0,0,24,15170,27027,0,100,0
0,434144,77412,2228,125920,0,0,0,0,15189,29250,1,97,2,0
0,434144,74236,2228,125920,0,0,0,0,15211,30754,1,98,1,0
0,0,434144,74932,2228,125980,0,0,60,0,14237,23509,0,96,4
0,0,434144,86596,2228,125984,0,0,0,0,17007,11915,3,90,6
0,434144,74896,2236,125980,0,0,0,12,16432,32640,0,97,3,0
0,434144,72288,2236,125988,0,0,0,0,16411,30371,2,98,0,0
0,434144,81644,2236,125988,0,0,0,0,14289,25932,1,98,1,0
0,434144,73784,2236,125992,0,0,0,0,16369,37118,2,98,0,0
0,434144,77136,2236,125992,0,0,0,0,13640,32835,1,98,1,0
2,0,434144,78228,2244,125996,0,0,0,12,17357,33083,1,97,2
0,434144,78436,2244,126004,0,0,0,0,14519,28479,2,95,2,0
3,0,434144,75964,2244,126008,0,0,0,0,14634,22691,0,99,1
2,0,434144,76928,2244,126448,8,0,528,304,15441,23970,5,91,5
0,434144,79828,2244,126464,4,0,4,0,15667,23899,1,97,2,0
0,434144,76708,2256,126452,0,0,0,88,14854,33911,1,98,1,0
2,0,434144,80220,2256,126464,0,0,0,0,15525,26548,3,93,3
9,0,434144,68596,2256,135316,0,0,8872,0,15903,25009,1,97,2
2,0,434144,85340,2380,147424,0,0,12212,0,13750,8382,3,82,13
3,0,434144,75752,2380,147444,0,0,0,0,17073,1287,1,91,8
2,0,434144,78496,2380,147448,0,0,0,0,16319,991,3,88,9
4,0,434144,83296,2388,147452,0,0,0,44,16244,854,1,92,7
2,0,434144,78480,2388,147452,0,0,0,0,12710,691,1,66,33
1,0,434144,78700,2388,147456,0,0,0,0,14836,811,2,84,13
2,0,434144,85996,2388,147460,0,0,0,0,16045,821,2,86,12
1,0,434144,67932,2388,147464,60,0,60,0,15814,839,2,81,16
0,0,434144,86712,2396,147456,0,0,0,12,14727,632,0,68,32
3,0,434144,72976,2396,147608,0,0,136,0,15486,852,1,86,13
4,0,434144,80616,2396,147608,0,0,0,0,15515,846,2,83,15
1,0,434144,80100,2396,147612,0,0,0,0,15036,739,3,85,13
0,0,434144,80752,2396,147616,0,0,0,0,14305,681,1,73,26
0,434144,73436,2404,147608,0,0,0,12,15098,827,1,87,12,0
4,0,432608,81684,2404,148460,48,0,884,0,15658,966,3,82,15
