r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id
1,413460,34796,6728,150692,2568,884,39808,884,11166,2507,3,95,1,1
0,413460,42968,3180,132384,124,72,37096,128,11500,2281,10,90,0,0
0,413800,42152,2948,131620,376,912,17968,912,9638,8602,1,99,0,0
0,413800,27916,2948,146984,48,0,15304,0,11209,16246,3,97,0,0
0,416088,33744,2128,165692,40,2276,23184,2832,9840,16248,1,99,0,0
8,0,416344,61756,2000,141416,200,404,5904,404,9966,1272,2,96,1
1,416856,94896,1736,106828,0,620,13508,660,11086,991,1,99,0,0
7,0,416856,85852,1732,116028,460,116,25708,144,9812,4611,2,98,0
0,416856,73388,1732,129372,0,0,13368,0,11856,8223,2,98,0,0
7,0,416856,65532,1732,135200,0,0,5820,0,10884,5444,4,94,2
6,0,416856,66652,1732,135200,0,0,0,0,12845,5724,0,98,2
4,0,416856,75496,1740,135204,0,0,0,20,13624,853,0,95,5
2,0,416856,77052,1740,135208,0,0,0,0,13517,834,1,93,6
3,0,416856,68684,1740,135208,0,0,0,0,15579,932,0,94,6
0,416088,64080,1740,135436,12,0,252,0,15419,979,2,93,4,0
1,0,416088,62944,1740,135724,0,0,268,0,12951,915,6,90,5
4,0,416088,68948,1748,135724,0,0,0,12,14424,933,1,93,5
0,416088,63072,1748,142428,28,0,6744,0,11116,1159,5,90,5,1
1,0,416088,50656,1748,145880,4,0,3436,0,10307,1329,13,86,1
1,0,416088,50276,1748,145880,0,0,0,0,10565,1275,4,94,2
2,0,416088,56792,1888,149484,0,0,3740,0,13230,1090,1,94,5
1,0,416088,52356,1900,149484,0,0,0,80,11909,755,0,96,4
3,0,416088,56628,1900,149488,0,0,0,0,11849,786,0,89,11
6,0,416088,52652,1900,149492,0,0,0,0,13746,822,2,92,6
1,0,416088,47456,1900,149892,176,0,576,0,10672,832,0,96,4
0,416088,49700,1900,149908,0,0,12,0,13523,873,1,94,4,0
4,0,416088,51800,1908,149912,0,0,0,12,13578,929,1,93,6
3,0,415832,45132,1908,149912,120,0,120,0,12580,955,2,91,7
0,415832,48952,1908,151268,20,0,1364,0,11012,895,2,93,5,0
0,0,415832,52444,1908,151352,0,0,92,0,11093,870,1,95,4
3,0,415832,45680,1908,151356,0,0,0,0,14033,843,1,90,9
0,415832,46736,1920,153764,0,0,2416,16,13486,1021,2,94,3,0
2,0,415832,59000,1920,158540,24,0,4804,0,12225,969,1,92,7
4,0,415832,53828,1920,158544,0,0,0,0,11682,777,1,93,6
3,0,415832,48328,1920,158548,0,0,0,0,14042,1030,1,94,4
2,0,415832,56248,1920,158548,0,0,0,0,13153,805,1,91,8
0,0,415832,51636,1928,158552,0,0,0,44,13513,873,1,94,5
5,0,415832,53104,1928,158552,0,0,0,80,11455,837,1,93,6
1,0,415832,50600,1928,158556,0,0,0,0,14486,891,0,94,6
4,0,415832,51052,1928,158560,0,0,0,0,11461,819,1,93,6
1,415832,52188,1928,161116,1364,0,2736,0,9590,1662,1,95,4,0
0,0,414296,49400,1936,161096,3132,0,3132,20,14473,4403,2,96,2
0,414296,46324,1936,161100,0,0,0,92,13271,793,2,93,5,0
1,0,414296,45816,1936,161100,0,0,0,0,12814,881,0,89,11
1,414040,50112,1936,162280,348,0,1508,0,15470,1231,1,93,6,0
0,414040,30148,2372,172116,136,0,10416,0,11016,2117,4,96,0,0
1,0,414040,29064,2380,172196,44,0,132,20,11400,2855,0,95,5
0,0,414040,34312,2380,172212,0,0,0,0,14036,2703,2,92,6
1,0,414040,32408,2380,172212,0,0,0,0,14996,1498,2,93,4
6,0,414040,31428,2380,172216,0,0,0,0,9907,688,1,83,16
2,0,414040,44756,2380,172528,24,0,336,0,16973,892,1,91,8
9,0,413784,34132,2388,172804,0,0,292,12,13380,808,2,94,4
5,0,413784,29064,2388,172828,0,0,0,0,13328,1406,0,91,9
1,0,413784,27308,2388,172828,0,0,0,140,11464,4396,1,88,11
1,0,413784,31080,2388,172832,0,0,0,0,13120,4180,1,94,5
0,0,413784,25896,2388,176036,108,0,1975,0,11639,1169,4,93,4
6,0,413784,31764,2388,176036,0,0,0,0,12231,1060,0,94,6
1,0,413784,25376,2396,176040,0,0,0,12,16024,1914,0,95,5
8,0,413784,31668,2396,176044,0,0,0,0,14652,973,1,93,6
1,0,413784,24064,2396,178844,4,0,2804,0,10094,3547,1,96,3
6,0,413784,13324,2624,203504,28,0,31196,224,11189,1175,1,85,11
0,414360,28656,2624,182036,0,704,36012,704,9768,3177,0,100,0,0
7,0,415064,28216,2636,179628,0,696,7844,744,13610,8234,2,97,1
0,415064,55864,3252,150168,92,0,10768,0,12354,1362,1,99,0,0
0,415064,43460,4136,161056,8,0,11784,48,12208,1488,11,89,0,0
5,0,415064,20328,4140,167236,0,0,6168,0,13904,1444,11,89,0
0,415064,14116,4292,174836,40,0,7732,0,13378,1596,6,94,0,0
7,0,416088,14824,4512,171896,100,1332,10372,2004,12019,1301,14,86,0
1,0,416184,27216,4124,152080,456,108,11516,108,10575,1775,2,94,3
8,0,416184,39640,3152,149620,0,0,11112,84,11731,1002,4,95,1
5,0,416184,36532,3152,153432,4,0,3800,0,11860,1775,2,95,2
1,0,416184,28868,3152,153432,0,0,0,0,13344,837,0,92,8
0,0,416184,45768,3152,153436,0,0,0,0,14066,773,2,80,17
4,0,416184,28740,3152,153440,0,0,0,0,16386,905,1,92,7
2,0,416184,37192,3160,153444,0,0,0,12,16954,968,0,95,5
1,0,416184,45072,3160,153448,0,0,0,0,13863,677,1,75,24
7,0,416184,32000,3160,153448,0,0,0,0,10056,648,0,75,25
8,0,416184,25708,3160,153448,0,0,0,0,13067,856,2,92,6
3,0,416184,23828,3160,155356,0,0,1904,0,14734,1078,2,90,8
2,0,416184,30512,3168,161060,16,0,5724,20,12672,1145,2,94,3
1,0,416184,28880,3168,161372,0,0,328,0,17196,1070,3,90,7
3,0,416184,30676,3168,161448,0,0,56,0,12668,874,1,93,6
3,0,416184,36384,3168,161452,0,0,0,0,14288,946,1,92,7
0,416184,28372,3168,171800,72,0,10428,0,11663,1210,3,90,7,0
4,0,416184,21684,3176,176544,64,0,4796,24,10677,2720,5,93,2
1,0,416184,23180,3176,176548,0,0,0,0,12677,898,1,93,5
0,0,416184,21616,3176,176552,0,0,0,0,15534,890,1,93,5
1,0,416184,32464,3176,176556,0,0,0,0,13942,744,1,89,10
7,0,416184,22300,3176,176556,0,0,0,0,11499,700,0,93,8
2,0,416184,16712,3184,176560,8,0,8,12,14764,1430,1,95,4
4,0,416184,14688,3184,176564,0,0,0,0,13671,1040,1,93,6
2,0,416184,22616,3184,176564,0,0,0,0,15039,1308,1,92,7
6,0,416184,22828,3184,176568,0,0,0,0,13538,788,1,91,8
6,0,416184,20096,3184,176572,0,0,0,0,15379,844,1,94,5
2,0,416184,13056,3192,176572,0,0,0,12,13839,2066,1,90,9
3,0,416184,19648,3192,176576,0,0,0,0,13386,1968,0,94,6
4,0,415928,14964,3192,176580,16,0,16,0,12979,1790,2,90,8
1,0,415928,16312,3192,176580,0,0,0,0,13661,913,0,94,6
0,415928,29548,3192,176696,8,0,116,436,13378,2012,1,90,9,0
0,415928,29148,3204,176692,0,0,0,60,14692,4065,3,89,8,0
4,0,415928,33328,3204,176692,0,0,0,0,11955,899,0,94,6
1,0,415928,20732,3204,176696,0,0,0,0,13480,974,0,95,5
5,0,415928,29940,3204,176696,0,0,0,0,14855,952,2,90,8
5,0,415928,32048,3204,176700,0,0,0,76,12712,875,0,95,5
3,0,415928,33960,3212,176704,0,0,0,12,15449,975,2,91,7
4,0,415928,33492,3212,176704,0,0,0,0,14652,874,2,91,7
1,0,415928,30864,3212,176708,0,0,0,0,15582,785,0,93,7
3,0,415928,34672,3212,176712,0,0,0,0,13079,797,0,94,6
2,0,415928,39784,3212,176716,0,0,0,0,12783,776,1,85,14
5,0,415928,33400,3220,176708,0,0,0,12,16259,886,1,91,7
3,0,415928,30652,3220,177128,12,0,424,0,14068,850,2,90,7
1,0,415928,29172,3220,177612,0,0,476,0,14574,911,1,95,4
2,0,415928,31372,3220,177612,0,0,0,0,11742,797,2,90,7
5,0,415928,40588,3220,177616,0,0,0,0,13977,781,0,91,9
2,0,415928,30312,3228,177612,0,0,0,12,12225,703,1,92,6
1,0,415928,27836,3228,177620,0,0,0,0,14821,810,0,92,8
8,0,415928,28100,3228,177624,0,0,0,0,14903,854,2,92,6
3,0,415928,37160,3228,177628,0,0,0,0,15164,868,0,92,8
6,0,415928,28660,3228,177628,0,0,0,0,15322,899,1,94,5
1,0,415928,24188,3236,179704,4,0,2084,12,12968,923,2,93,4
2,0,415928,39556,3340,183080,4,0,3496,0,14362,944,1,89,9
1,415928,33696,2208,183500,36,0,36920,224,10645,1230,3,84,12,1
5,0,415928,82164,1968,130136,0,0,21772,0,15139,1110,1,98,1
1,0,415928,69372,1968,142224,0,0,12064,0,13888,969,1,98,1
0,415928,69008,1980,142212,0,0,0,56,11305,869,1,90,8,0
6,0,415928,62684,1980,142228,0,0,0,0,12161,921,1,92,7
1,0,415928,61740,1980,143068,0,0,864,0,11149,811,1,95,4
2,0,415928,68224,1980,143096,0,0,0,0,15294,1044,1,94,5
8,0,415928,66908,1980,143096,0,0,0,0,16490,1053,1,93,6
1,0,415928,73968,1988,143092,0,0,0,12,13485,935,2,92,6
4,0,415928,67856,1988,143104,0,0,0,0,14307,837,1,93,6
0,0,415928,58296,1988,143104,0,0,0,0,12269,837,1,93,6
7,0,415928,62012,1988,143108,0,0,0,0,13634,921,1,93,6
4,0,415928,64644,1988,143112,0,0,0,0,14251,953,1,91,8
7,0,415928,68980,1996,143104,0,0,0,12,13498,912,1,93,6
6,0,415928,64468,1996,143116,0,0,0,0,12640,863,1,93,6
6,0,415928,67424,1996,143116,0,0,0,0,14832,950,0,94,6
3,0,415928,74136,1996,143120,0,0,0,0,14508,828,1,92,7
6,0,415928,64312,1996,143124,0,0,0,0,13259,870,0,95,5
5,0,415928,60360,2004,143120,0,0,0,12,10920,789,0,93,8
3,0,415928,73584,2004,143156,0,0,32,0,15947,969,0,92,8
1,0,415928,62980,2004,143164,0,0,0,0,12564,800,1,94,5
0,0,415928,65856,2004,143168,0,0,0,0,15524,849,0,91,9
0,415416,57876,2796,151396,1304,0,10280,0,12523,1332,1,91,8,0
4,0,415416,41120,2804,157528,208,0,6828,16,11325,982,1,96,3
8,0,415416,43004,2804,157536,0,0,0,0,14495,905,2,93,4
5,0,415416,44924,2804,157540,0,0,0,0,13377,893,0,92,8
2,0,415416,42440,2804,157544,0,0,0,0,15832,966,2,92,5
4,0,415416,44624,2804,157544,0,0,0,0,13134,913,0,93,7
3,0,415416,60520,2812,157540,0,0,0,12,16670,893,1,93,6
5,0,415416,48512,2812,157552,0,0,0,0,13698,737,1,89,9
0,0,415416,53244,2812,157556,0,0,0,0,13856,818,1,89,10
1,0,415416,52968,2812,157556,0,0,0,84,15562,916,1,92,7
7,0,415416,47212,2812,157560,0,0,0,0,11562,768,0,94,6
2,0,415416,47232,2820,157552,0,0,0,32,13202,917,2,92,6
1,0,415416,50388,2820,157564,0,0,12,0,13873,867,0,92,8
3,0,415416,52052,2820,157776,0,0,208,0,16157,947,1,94,5
4,0,415416,45276,2820,157792,0,0,0,48,15351,919,0,94,6
