r,b,swpd,free,buff,cache,si,so,bi,bo,in,cs,us,sy,id
3,0,513416,63872,512,103460,276,11276,37232,11276,19052,3243,2,97,1
6,0,533580,88412,472,97948,80,20008,12964,20012,20536,3942,2,97,1
0,0,540652,104920,468,94280,52,7060,8268,7068,20355,2464,1,86,13
4,0,540652,101172,468,94308,0,0,0,0,19374,15262,1,72,27
8,0,540652,97280,476,94328,0,0,36,44,11432,31501,0,100,0
5,0,540652,98024,476,94348,0,0,0,0,18281,46420,3,97,0
2,0,539372,68492,2204,123992,2332,0,33452,0,18468,14577,3,72,10
1,0,539372,70516,2204,123976,0,0,0,0,12261,1410,0,36,64
0,0,539372,70708,2204,123976,0,0,0,0,15338,3317,2,53,44
4,0,539372,65780,2216,125452,0,0,1480,108,13151,9034,1,55,44
9,0,539372,52132,2216,125464,0,0,0,0,16345,30060,1,79,19
1,0,539372,69416,2216,125464,0,0,0,0,21726,45092,1,86,13
0,0,539372,70156,2216,125468,0,0,0,0,19192,2266,1,63,36
3,0,539372,66588,2216,125472,0,0,0,0,15391,10418,1,67,32
2,0,539372,69444,2224,125468,0,0,0,12,16956,16900,0,55,45
2,0,539372,69916,2224,125480,0,0,0,0,18819,3925,1,60,39
0,0,539372,69628,2224,125484,0,0,0,0,13680,9591,1,48,51
0,0,539372,59904,2224,134596,72,0,9192,0,22837,34620,1,78,21
1,0,539372,57944,2916,136296,172,0,2552,0,10628,2016,1,39,60
6,0,539372,50820,2916,136300,0,0,0,0,9854,398,0,37,63
2,0,539372,47112,2924,136304,0,0,0,40,15852,665,2,97,2
4,0,539372,56360,3092,144256,188,0,8336,0,19423,1237,1,99,0
6,0,539372,51404,3092,144288,0,0,0,684,18300,737,1,97,1
1,0,539372,59576,3092,144292,0,0,0,0,14811,585,0,60,40
5,0,539372,54420,3092,144296,0,0,0,0,21763,693,2,84,14
0,0,539372,59620,3100,144296,0,0,0,60,8366,403,0,32,68
1,0,539372,57096,3100,144300,0,0,0,0,15024,528,1,54,45
1,0,539372,59828,3100,144304,16,0,16,0,19451,619,2,65,33
0,0,539116,59320,3100,144400,192,0,284,0,22545,739,0,71,29
2,0,539116,59448,3100,144404,0,0,0,0,10915,432,0,39,61
0,0,539116,59392,3108,144432,0,0,48,12,11689,438,2,34,64
2,0,539116,51316,3108,144456,0,0,0,0,19529,678,1,65,34
4,0,539116,53092,3108,145272,48,0,864,0,20760,747,3,95,3
0,0,539116,58588,3108,145276,0,0,0,0,14514,554,3,65,33
2,0,539116,57304,3108,145280,0,0,0,0,13336,453,0,38,62
1,0,539116,57436,3116,145284,0,0,0,12,18964,657,0,61,39
0,0,539116,57388,3116,145288,0,0,0,0,18397,673,3,93,4
2,0,539116,57580,3116,145292,0,0,0,0,15813,542,1,61,38
1,0,539116,56620,3116,145292,0,0,0,0,18628,578,2,65,33
